Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2024-08-20,198700,202500,198100,199700,4258190,0.029912325941206852,197766.66666666666,192380.0
2024-08-21,193000,195400,191100,192600,4508983,-0.0355533299949925,195400.0,194520.0
2024-08-22,192000,194400,189000,191100,3166217,-0.007788161993769416,194466.66666666666,195400.0
2024-08-23,186000,189300,185400,185500,4371332,-0.02930402930402931,189733.33333333334,192560.0
2024-08-26,187800,188500,179600,179600,4913204,-0.03180592991913744,185400.0,189700.0
2024-08-27,176800,180200,173400,175000,5796566,-0.025612472160356337,180033.33333333334,184760.0
2024-08-28,175000,180800,174000,179300,5590086,0.024571428571428466,177966.66666666666,182100.0
2024-08-29,167600,171700,167200,169700,8284585,-0.053541550474065835,174666.66666666666,177820.0
2024-08-30,171000,175500,169400,173700,4498221,0.023571007660577514,174233.33333333334,175460.0
2024-09-02,173600,174900,168400,174000,3507670,0.0017271157167531026,172466.66666666666,174340.0
2024-09-03,172900,173800,168300,168300,3286574,-0.03275862068965518,172000.0,173000.0
2024-09-04,152900,159000,152900,154800,10020391,-0.0802139037433155,165700.0,168100.0
2024-09-05,157000,163000,156600,159400,5349484,0.029715762273901714,160833.33333333334,166040.0
2024-09-06,157100,158200,154900,156400,3459914,-0.01882057716436636,156866.66666666666,162580.0
2024-09-09,151800,157700,150500,157000,4484162,0.0038363171355497716,157600.0,159180.0
2024-09-10,157400,161700,154300,155500,4718523,-0.009554140127388533,156300.0,156620.0
2024-09-11,156800,158700,154300,157200,3203928,0.010932475884244397,156566.66666666666,157100.0
2024-09-12,165200,171300,163800,168800,8628996,0.07379134860050884,160500.0,158980.0
2024-09-13,166500,166700,161100,162800,5246578,-0.03554502369668244,162933.33333333334,160260.0
2024-09-19,154700,155700,144700,152800,15001257,-0.061425061425061434,161466.66666666666,159420.0
2024-09-20,160500,160800,155900,157100,7155655,0.028141361256544428,157566.66666666666,159740.0
2024-09-23,155800,162900,155700,162000,4497592,0.031190324633991073,157300.0,160700.0
2024-09-24,163700,163700,159200,163500,3442530,0.0092592592592593,160866.66666666666,159640.0
2024-09-25,166700,169300,165000,165300,4665075,0.011009174311926495,163600.0,160140.0
2024-09-26,178400,180900,176200,180900,9519633,0.09437386569872963,169900.0,165760.0
2024-09-27,187500,189300,183800,183800,6886272,0.01603095632946383,176666.66666666666,171100.0
2024-09-30,183700,183800,174600,174600,4859468,-0.05005440696409136,179766.66666666666,173620.0
2024-10-02,172700,175500,169100,169100,4720638,-0.03150057273768614,175833.33333333334,174740.0
2024-10-04,171700,175600,170700,174100,3633358,0.029568302779420463,172600.0,176500.0
2024-10-07,178400,184900,176000,184900,3904925,0.06203331418724867,176033.33333333334,177300.0
2024-10-08,182200,185000,178000,178000,3988028,-0.037317468902109296,179000.0,176140.0
2024-10-10,184500,188100,183400,186700,6325045,0.04887640449438213,183200.0,178560.0
2024-10-11,190000,191200,185100,186000,3475666,-0.003749330476700563,183566.66666666666,181940.0
2024-10-14,186900,192300,186900,187500,3309274,0.008064516129032251,186733.33333333334,184620.0
2024-10-15,191900,193200,189700,192900,4060365,0.028799999999999937,188800.0,186220.0
2024-10-16,184700,192500,183600,188700,4787317,-0.021772939346811793,189700.0,188360.0
2024-10-17,191200,196000,188700,196000,3996946,0.03868574456809748,192533.33333333334,190220.0
2024-10-18,198200,198200,186200,187300,5509895,-0.04438775510204085,190666.66666666666,190480.0
2024-10-21,189400,192300,188000,190900,2428544,0.019220501868659978,191400.0,191160.0
2024-10-22,195300,195300,187500,187800,3466963,-0.01623886851754841,188666.66666666666,190140.0
2024-10-23,188500,196700,188000,196000,4366079,0.04366347177848784,191566.66666666666,191600.0
2024-10-24,193500,202000,190000,198200,6344515,0.011224489795918391,194000.0,192040.0
2024-10-25,203000,206000,199400,201000,5530362,0.01412714429868811,198400.0,194780.0
2024-10-28,203500,205000,194200,196000,4114186,-0.02487562189054726,198400.0,195800.0
2024-10-29,196000,197000,189100,190300,4067991,-0.029081632653061185,195766.66666666666,196300.0
2024-10-30,190200,195400,189400,195000,3580400,0.024697845507094085,193766.66666666666,196100.0
2024-10-31,189900,192900,186100,186300,4573282,-0.04461538461538461,190533.33333333334,193720.0
2024-11-01,182500,184900,180500,182200,3478519,-0.022007514761137936,187833.33333333334,189960.0
2024-11-04,185200,194000,183700,194000,3569575,0.06476399560922053,187500.0,189560.0
2024-11-05,193600,198800,192100,193200,3560310,-0.004123711340206171,189800.0,190140.0
2024-11-06,197700,199200,192700,195800,3460361,0.013457556935817738,194333.33333333334,190300.0
2024-11-07,197400,198300,193100,197400,2976546,0.008171603677221695,195466.66666666666,192520.0
2024-11-08,200500,203000,198800,200500,3031573,0.015704154002026405,197900.0,196180.0
2024-11-11,199300,199300,192400,192600,2636191,-0.03940149625935163,196833.33333333334,195900.0
2024-11-12,192500,192500,184900,185800,3920254,-0.0353063343717549,192966.66666666666,194420.0
2024-11-13,185700,189500,182600,182900,3172827,-0.015608180839612462,187100.0,191840.0
2024-11-14,182900,184900,171700,173000,6309368,-0.05412793876435207,180566.66666666666,186960.0
2024-11-15,174000,179000,173600,178200,4330750,0.03005780346820819,178033.33333333334,182500.0
2024-11-18,173800,177800,170300,171700,3885644,-0.03647586980920314,174300.0,178320.0
2024-11-19,170400,172900,168100,170600,4075013,-0.006406523005241693,173500.0,175280.0
2024-11-20,175000,175100,170200,170600,3689296,0.0,170966.66666666666,172820.0
2024-11-21,168200,173000,168200,168800,3821502,-0.010550996483001174,170000.0,171980.0
2024-11-22,171700,178200,171200,176700,3919973,0.0468009478672986,172033.33333333334,171680.0
2024-11-25,174500,179500,173900,177000,4393882,0.001697792869269854,174166.66666666666,172740.0
2024-11-26,175200,177700,174700,177100,1996128,0.0005649717514124575,176933.33333333334,174040.0
2024-11-27,175600,175700,167900,168300,4756820,-0.0496894409937888,174133.33333333334,173580.0
